Address,ASRL1::INSTR
Model,34401A
Serial Number:,0
Firmware Version,11-5-2
Start Time,2021-05-04 13:19:28.842
Stop Time,2021-05-04 13:21:25.841
Sample Count,2792
Auto Range:,On
Measurement:,AC Voltage
Range(VAC):,10
Resolution(VAC):,0.0001
,
Time (s),Channel 1 (VAC)
2021-05-04 13:20:31.353,1.2324828
2021-05-04 13:20:31.393,1.2323504
2021-05-04 13:20:31.433,1.232155
2021-05-04 13:20:31.473,1.2320899
2021-05-04 13:20:31.513,1.2322895
2021-05-04 13:20:31.554,1.2325732
2021-05-04 13:20:31.595,1.2327686
2021-05-04 13:20:31.636,1.2329094
2021-05-04 13:20:31.677,1.2327119
2021-05-04 13:20:31.718,1.2322496
2021-05-04 13:20:31.759,1.2316822
2021-05-04 13:20:31.800,1.2312263
2021-05-04 13:20:31.840,1.2310056
2021-05-04 13:20:31.881,1.2312179
2021-05-04 13:20:31.921,1.2316801
2021-05-04 13:20:31.961,1.2320016
2021-05-04 13:20:32.002,1.2323294
2021-05-04 13:20:32.043,1.2328085
2021-05-04 13:20:32.084,1.2330628
2021-05-04 13:20:32.124,1.232985
2021-05-04 13:20:32.165,1.2328611
2021-05-04 13:20:32.206,1.2326404
2021-05-04 13:20:32.246,1.2323862
2021-05-04 13:20:32.287,1.2322958
2021-05-04 13:20:32.328,1.2323273
2021-05-04 13:20:32.368,1.2323883
2021-05-04 13:20:32.410,1.233025
2021-05-04 13:20:32.451,1.2337394
2021-05-04 13:20:32.492,1.2341701
2021-05-04 13:20:32.532,1.2344601
2021-05-04 13:20:32.572,1.2345778
2021-05-04 13:20:32.612,1.2344685
2021-05-04 13:20:32.652,1.2340504
2021-05-04 13:20:32.693,1.23342
2021-05-04 13:20:32.733,1.2327476
2021-05-04 13:20:32.775,1.2322265
2021-05-04 13:20:32.816,1.2319743
2021-05-04 13:20:32.857,1.2319407
2021-05-04 13:20:32.898,1.2319953
2021-05-04 13:20:32.939,1.2319869
2021-05-04 13:20:32.979,1.2320395
2021-05-04 13:20:33.020,1.232071
2021-05-04 13:20:33.061,1.2320374
2021-05-04 13:20:33.101,1.2320374
2021-05-04 13:20:33.141,1.2320563
2021-05-04 13:20:33.182,1.2321844
2021-05-04 13:20:33.223,1.2323063
2021-05-04 13:20:33.263,1.2323568
2021-05-04 13:20:33.304,1.2323799
2021-05-04 13:20:33.344,1.232361
2021-05-04 13:20:33.385,1.2322475
2021-05-04 13:20:33.426,1.2322475
2021-05-04 13:20:33.467,1.2324702
2021-05-04 13:20:33.508,1.2326656
2021-05-04 13:20:33.549,1.2326614
2021-05-04 13:20:33.590,1.2323673
2021-05-04 13:20:33.631,1.2319827
2021-05-04 13:20:33.672,1.2315646
2021-05-04 13:20:33.712,1.2313881
2021-05-04 13:20:33.752,1.231594
2021-05-04 13:20:33.793,1.2317327
2021-05-04 13:20:33.833,1.2316024
2021-05-04 13:20:33.873,1.231346
2021-05-04 13:20:33.914,1.2311527
2021-05-04 13:20:33.955,1.2311758
2021-05-04 13:20:33.996,1.231386
2021-05-04 13:20:34.036,1.2317327
2021-05-04 13:20:34.077,1.2322097
2021-05-04 13:20:34.118,1.2326845
2021-05-04 13:20:34.159,1.2329283
2021-05-04 13:20:34.199,1.2331258
2021-05-04 13:20:34.240,1.2333443
2021-05-04 13:20:34.281,1.2334704
2021-05-04 13:20:34.322,1.2334704
2021-05-04 13:20:34.362,1.2332015
2021-05-04 13:20:34.403,1.2326719
2021-05-04 13:20:34.443,1.2318882
2021-05-04 13:20:34.483,1.231241
2021-05-04 13:20:34.524,1.2309468
2021-05-04 13:20:34.564,1.2310351
2021-05-04 13:20:34.605,1.2315204
2021-05-04 13:20:34.645,1.2321529
2021-05-04 13:20:34.686,1.232569
2021-05-04 13:20:34.728,1.2326593
2021-05-04 13:20:34.769,1.2326446
2021-05-04 13:20:34.809,1.2326951
2021-05-04 13:20:34.849,1.2327161
2021-05-04 13:20:34.889,1.2326236
2021-05-04 13:20:34.929,1.2325942
2021-05-04 13:20:34.970,1.2326677
2021-05-04 13:20:35.010,1.2327539
2021-05-04 13:20:35.051,1.2329073
2021-05-04 13:20:35.092,1.2332456
2021-05-04 13:20:35.133,1.2335545
2021-05-04 13:20:35.174,1.2337835
2021-05-04 13:20:35.215,1.2340167
2021-05-04 13:20:35.255,1.2341575
2021-05-04 13:20:35.296,1.2340609
2021-05-04 13:20:35.337,1.2339558
2021-05-04 13:20:35.378,1.2339873
2021-05-04 13:20:35.419,1.2339621
2021-05-04 13:20:35.459,1.233607
2021-05-04 13:20:35.500,1.233151
2021-05-04 13:20:35.541,1.2327602
2021-05-04 13:20:35.581,1.2324765
2021-05-04 13:20:35.621,1.2324618
2021-05-04 13:20:35.662,1.232653
2021-05-04 13:20:35.703,1.2327749
2021-05-04 13:20:35.744,1.2326866
2021-05-04 13:20:35.784,1.2325312
2021-05-04 13:20:35.825,1.2324408
2021-05-04 13:20:35.866,1.2325543
2021-05-04 13:20:35.907,1.2328653
2021-05-04 13:20:35.948,1.2331132
2021-05-04 13:20:35.989,1.2331762
2021-05-04 13:20:36.029,1.2330712
2021-05-04 13:20:36.069,1.2328127
2021-05-04 13:20:36.110,1.2325921
2021-05-04 13:20:36.150,1.2324639
2021-05-04 13:20:36.190,1.2323168
2021-05-04 13:20:36.231,1.2320983
2021-05-04 13:20:36.272,1.2319722
2021-05-04 13:20:36.312,1.2319386
2021-05-04 13:20:36.353,1.2319449
2021-05-04 13:20:36.393,1.2319806
2021-05-04 13:20:36.434,1.2321592
2021-05-04 13:20:36.475,1.2325375
2021-05-04 13:20:36.516,1.2328884
2021-05-04 13:20:36.557,1.2331237
2021-05-04 13:20:36.597,1.2332288
2021-05-04 13:20:36.638,1.23313
2021-05-04 13:20:36.678,1.232922
2021-05-04 13:20:36.719,1.2326824
2021-05-04 13:20:36.759,1.2326131
2021-05-04 13:20:36.799,1.2326593
2021-05-04 13:20:36.839,1.2328022
2021-05-04 13:20:36.880,1.2329199
2021-05-04 13:20:36.920,1.2327917
2021-05-04 13:20:36.961,1.2323799
2021-05-04 13:20:37.003,1.2318609
2021-05-04 13:20:37.044,1.2313818
2021-05-04 13:20:37.084,1.2310309
2021-05-04 13:20:37.126,1.2310309
2021-05-04 13:20:37.167,1.2312641
2021-05-04 13:20:37.207,1.2315415
2021-05-04 13:20:37.247,1.231739
2021-05-04 13:20:37.288,1.2319281
2021-05-04 13:20:37.328,1.2321676
2021-05-04 13:20:37.368,1.2322958
2021-05-04 13:20:37.409,1.2322769
2021-05-04 13:20:37.450,1.2322265
2021-05-04 13:20:37.491,1.2322538
2021-05-04 13:20:37.532,1.2324387
2021-05-04 13:20:37.572,1.2326446
2021-05-04 13:20:37.613,1.2328526
2021-05-04 13:20:37.654,1.233067
2021-05-04 13:20:37.695,1.2333065
2021-05-04 13:20:37.735,1.2335818
2021-05-04 13:20:37.776,1.2338234
2021-05-04 13:20:37.817,1.2339621
2021-05-04 13:20:37.857,1.2339117
2021-05-04 13:20:37.898,1.233815
2021-05-04 13:20:37.938,1.2337562
2021-05-04 13:20:37.979,1.2336784
2021-05-04 13:20:38.020,1.2336826
2021-05-04 13:20:38.060,1.2338297
2021-05-04 13:20:38.101,1.2338907
2021-05-04 13:20:38.142,1.2337058
2021-05-04 13:20:38.183,1.2334557
2021-05-04 13:20:38.224,1.2332456
2021-05-04 13:20:38.265,1.2330754
2021-05-04 13:20:38.306,1.2328737
2021-05-04 13:20:38.346,1.2327014
2021-05-04 13:20:38.387,1.232653
2021-05-04 13:20:38.427,1.2328001
2021-05-04 13:20:38.467,1.2332183
